titulo,precio_venta,categoria_id,precio_compra,sku,img_caratula,categoria_str,precio_intercambio
Madagascar 3,8.00,977,3.00,3391891963527,/product_images/Juegos/3DS Juegos/3391891963527_s.jpg,Nintendo 3DS,5.00
Rainbow Six 3 Raven Shield,0.75,830,0.10,3307210140142,/product_images/defimg2_s.jpg,PC,0.20
Music Puzzle Gunpey DS,2.50,834,0.30,3296580803170,/product_images/Juegos/DS Juegos/3296580803170_s.jpg,Nintendo DS,0.70
Majin And the Forsaken Kingdom,12.00,821,5.00,3700577000706,/product_images/Juegos/PS3 Juegos/3700577000706_s.jpg,PlayStation 3,7.00
Skylanders Giants: Starter Pack,10.00,977,4.00,5030917113529,/product_images/Juegos/3DS Juegos/5030917113529_s.jpg,Nintendo 3DS,6.00
Tortuga Dos Tesoros,0.10,830,0.01,8426412003958,/product_images/defimg5_s.jpg,PC,0.01
Project Snowblind,0.25,830,0.01,5032921021920,/product_images/defimg5_s.jpg,PC,0.01
Platypus,1.50,862,0.20,5024866336085,/product_images/defimg5_s.jpg,PSP,0.40
Top Spin 2,2.50,834,0.60,5026555041171,/product_images/Juegos/DS Juegos/5026555041171_s.jpg,Nintendo DS,0.90
Sniper Elite 3 - Ultimate Edition,15.00,821,6.00,8023171036199,/product_images/Juegos/PS3 Juegos/8023171036199_s.jpg,PlayStation 3,9.00
Tintin: El Secreto del Unicornio,7.00,977,3.00,3307215593851,/product_images/Juegos/3DS Juegos/3307215593851_s.jpg,Nintendo 3DS,4.00
F1 2015 (P),10.00,830,4.00,5024866363944,/product_images/Juegos/PC Juegos/5024866363944_s.jpg,PC,6.00
Pariah (SN) 3cd,0.25,830,0.01,3760049399301,/product_images/defimg4_s.jpg,PC,0.01
Padre De Familia,1.00,862,0.10,5026555280433,/product_images/Juegos/PSP Juegos/5026555280433_s.jpg,PSP,0.30
Dolphin Island,0.75,834,0.10,3307210268990,/product_images/Juegos/DS Juegos/3307210268990_s.jpg,Nintendo DS,0.20
Dungeon Siege 3,4.00,821,0.90,5021290046337,/product_images/Juegos/PS3 Juegos/5021290046337_s.jpg,PlayStation 3,1.50
Pac-Man And The Ghostly Adventures 2,15.00,977,7.00,3391891979542,/product_images/Juegos/3DS Juegos/3391891979542_s.jpg,Nintendo 3DS,9.00
Teenage Mutant Ninja Turtles TMNT,12.00,977,5.00,5030917131806,/product_images/Juegos/3DS Juegos/5030917131806_s.jpg,Nintendo 3DS,7.00
Mechwarrior 4: Vengeance (2 Disc),0.10,830,0.01,3307210173775,/product_images/defimg4_s.jpg,PC,0.01
Cycling Manager 4,0.50,830,0.01,8426412004153,/product_images/defimg4_s.jpg,PC,0.10
X-Men Legends 2 El Ascenso de Apocalipsi,3.00,862,0.40,5030917033308,/product_images/Juegos/PSP Juegos/5030917033308_s.jpg,PSP,0.90
Cars 2,7.00,834,3.00,045496471200,/product_images/Juegos/DS Juegos/045496471200_s.jpg,Nintendo DS,4.00
Wheelman,5.00,821,1.20,5037930110740,/product_images/Juegos/PS3 Juegos/5037930110740_s.jpg,PlayStation 3,1.90
MotoGP 14,10.00,821,4.00,8059617102074,/product_images/Juegos/PS3 Juegos/8059617102074_s.jpg,PlayStation 3,6.00
Mi Osito Y Yo,15.00,977,7.00,045496473327,/product_images/Juegos/3DS Juegos/045496473327_s.jpg,Nintendo 3DS,9.00
Gravity Falls: Un Verano De Misterios,10.00,977,4.00,3307215912904,/product_images/Juegos/3DS Juegos/3307215912904_s.jpg,Nintendo 3DS,6.00
Ground Control,0.10,830,0.01,3348542087835,/product_images/defimg3_s.jpg,PC,0.01
Myst III - Exile,2.00,830,0.30,008888610427,/product_images/defimg4_s.jpg,PC,0.60
Marvel Ultimate Alliance 2,8.00,862,1.60,5030917061165,/product_images/Juegos/PSP Juegos/5030917061165_s.jpg,PSP,2.00
Baby Pals,2.50,834,0.60,4005209102407,/product_images/Juegos/DS Juegos/4005209102407_s.jpg,Nintendo DS,0.90
Ace Combat: Assault Horizon,6.00,821,2.00,3391891956048,/product_images/Juegos/PS3 Juegos/3391891956048_s.jpg,PlayStation 3,3.00
Skylanders 2012 - Starter Pack (Incluye,7.00,977,3.00,5030917115875,/product_images/Juegos/3DS Juegos/5030917115875_s.jpg,Nintendo 3DS,4.00
D-day,1.00,830,0.10,3760007413131,/product_images/defimg2_s.jpg,PC,0.30
UEFA Champions League 2006-07,1.50,862,0.20,5030930055325,/product_images/defimg4_s.jpg,PSP,0.40
Indiana Jones y el Cetro de los Reyes,4.00,834,0.90,023272007935,/product_images/Juegos/DS Juegos/023272007935_s.jpg,Nintendo DS,1.50
One Piece Pirate Warriors 2,12.00,821,5.00,3391891970648,/product_images/Juegos/PS3 Juegos/3391891970648_s.jpg,PlayStation 3,7.00
Jewel Quest 4 - Heritage,25.00,977,12.00,8716051052210,/product_images/Juegos/3DS Juegos/8716051052210_s.jpg,Nintendo 3DS,16.00
Gothic,0.75,830,0.10,8426412003101,/product_images/defimg4_s.jpg,PC,0.20
007 Desde Rusia Con Amor,1.00,862,0.10,5030934049917,/product_images/Juegos/PSP Juegos/5030934049917_s.jpg,PSP,0.30
NBA Live 08,1.00,862,0.10,5030934059213,/product_images/Juegos/PSP Juegos/5030934059213_s.jpg,PSP,0.30
Transformers Decepticons,4.00,834,0.90,5030917044601,/product_images/Juegos/DS Juegos/5030917044601_s.jpg,Nintendo DS,1.50
Warhammer 40k Squad Command,4.00,834,0.90,4005209101219,/product_images/Juegos/DS Juegos/4005209101219_s.jpg,Nintendo DS,1.50
Singstar Dance (Solo Juego),6.00,821,1.40,711719114888,/product_images/Juegos/PS3 Juegos/711719114888_s.jpg,PlayStation 3,2.00
Resonance of Fate,6.00,821,2.00,5055277004928,/product_images/Juegos/PS3 Juegos/5055277004928_s.jpg,PlayStation 3,3.00
Alpha Protocol,4.00,821,0.90,5055277001491,/product_images/Juegos/PS3 Juegos/5055277001491_s.jpg,PlayStation 3,1.50
I Love My Cat,5.00,977,2.00,3499550341607,/product_images/Juegos/3DS Juegos/3499550341607_s.jpg,Nintendo 3DS,3.00
Hotwheels: World's Best Driver,12.00,977,5.00,5051893154832,/product_images/Juegos/3DS Juegos/5051893154832_s.jpg,Nintendo 3DS,7.00
Supervivientes,4.50,977,1.00,3499550330328,/product_images/Juegos/3DS Juegos/3499550330328_s.jpg,Nintendo 3DS,1.70
Medal of Honor Spearhead Expansion,4.00,830,0.60,8414185050804,/product_images/defimg1_s.jpg,PC,1.20
Los Sims 2 Comparten piso,6.00,830,1.40,8414185034576,/product_images/defimg4_s.jpg,PC,2.00
Swat 3,0.50,830,0.01,3348542172579,/product_images/defimg5_s.jpg,PC,0.10
Shin Megami Tensei: Persona 3 Portable,25.00,862,5.00,5036675013613,/product_images/defimg4_s.jpg,PSP,9.00
Football Manager 2011,0.50,862,0.01,505527007585,/product_images/Juegos/PSP Juegos/505527007585_s.jpg,PSP,0.10
Football Manager Handheld 2010,1.00,862,0.10,5055277002283,/product_images/Juegos/PSP Juegos/5055277002283_s.jpg,PSP,0.30
Megamind,2.50,834,0.60,4005209136891,/product_images/Juegos/DS Juegos/4005209136891_s.jpg,Nintendo DS,0.90
High School Musical: Vive el Verano,1.50,834,0.20,045496467012,/product_images/Juegos/DS Juegos/045496467012_s.jpg,Nintendo DS,0.40
Pure,3.50,821,0.80,8717418176990,/product_images/Juegos/PS3 Juegos/8717418176990_s.jpg,PlayStation 3,1.30
Tekken 6 + Tekken Tag Tournament 2 + Soulcalibur V,25.00,821,11.00,3391891982573,/product_images/Juegos/PS3 Juegos/3391891982573_s.jpg,PlayStation 3,15.00
Mighty No.9,25.00,977,12.00,4020628847432,/product_images/Juegos/3DS Juegos/4020628847432_s.jpg,Nintendo 3DS,16.00
Legend Of Zelda: Majora's Mask Edición Especial,60.00,977,28.00,0045496527297,/product_images/Juegos/3DS Juegos/0045496527297_s.jpg,Nintendo 3DS,39.00
Drakensang Anthology Premium,3.00,830,0.40,8436010153320,/product_images/Juegos/PC Juegos/8436010153320_s.jpg,PC,0.90
Need For Speed: Undercover (SN),4.00,830,0.60,8414185300114,/product_images/Juegos/PC Juegos/8414185300114_s.jpg,PC,1.20
Return To Castle Wolfenstein Special Ed,2.00,830,0.40,5030917017001,/product_images/defimg3_s.jpg,PC,0.70
Blade Dancer,4.00,862,0.80,5060050944667,/product_images/Juegos/PSP Juegos/5060050944667_s.jpg,PSP,1.40
Dynasty Warriors,5.00,862,1.00,5060073301430,/product_images/Juegos/PSP Juegos/5060073301430_s.jpg,PSP,1.80
Gitaroo Man Lives!,2.00,862,0.30,5060073302710,/product_images/Juegos/PSP Juegos/5060073302710_s.jpg,PSP,0.60
Barbie: 12 Princesas Bailarinas,3.50,834,0.80,5030917042744,/product_images/Juegos/DS Juegos/5030917042744_s.jpg,Nintendo DS,1.30
Mision Imposible,1.50,834,0.20,5060057024904,/product_images/Juegos/DS Juegos/5060057024904_s.jpg,Nintendo DS,0.40
Kung Fu Panda,4.00,834,0.90,5030917054013,/product_images/Juegos/DS Juegos/5030917054013_s.jpg,Nintendo DS,1.50
Moto GP 09/10,3.50,821,0.80,5055060926161,/product_images/Juegos/PS3 Juegos/5055060926161_s.jpg,PlayStation 3,1.30
Space Hulk,2.50,821,0.60,5055377602338,/product_images/Juegos/PS3 Juegos/5055377602338_s.jpg,PlayStation 3,0.90
One Piece: Unlimited World Red,12.00,821,5.00,3391891977234,/product_images/Juegos/PS3 Juegos/3391891977234_s.jpg,PlayStation 3,7.00
"US Marines, First to Fight",0.10,830,0.01,8423817603196,/product_images/defimg2_s.jpg,PC,0.01
Commandos 3 Destination Berlin (3 Disco),3.50,830,0.70,5032921019729,/product_images/Juegos/PC Juegos/5032921019729_s.jpg,PC,1.20
Sniper Ghost Warrior,3.00,830,0.70,8436010153467,/product_images/Juegos/PC Juegos/8436010153467_s.jpg,PC,1.10
Dragoneer's Aria,18.00,862,3.00,5060073304356,/product_images/Juegos/PSP Juegos/5060073304356_s.jpg,PSP,6.00
Dead Or Alive: Paradise,4.00,862,0.80,5060073307302,/product_images/Juegos/PSP Juegos/5060073307302_s.jpg,PSP,1.40
Space Invaders Evolution,2.00,862,0.30,5060102950035,/product_images/Juegos/PSP Juegos/5060102950035_s.jpg,PSP,0.60
Kim Possible Kimmunicator,2.00,834,0.40,8717418086381,/product_images/Juegos/DS Juegos/8717418086381_s.jpg,Nintendo DS,0.70
Bakugan Battle Brawlers,1.50,834,0.30,5030917077258,/product_images/Juegos/DS Juegos/5030917077258_s.jpg,Nintendo DS,0.50
Need For Speed: Most Wanted,6.00,834,2.00,5030934047050,/product_images/Juegos/DS Juegos/5030934047050_s.jpg,Nintendo DS,3.00
LEGO: El Hobbit,10.00,821,4.00,5051893168686,/product_images/Juegos/PS3 Juegos/5051893168686_s.jpg,PlayStation 3,6.00
Piratas Del Caribe En El Fin Del Mundo,8.00,821,3.00,8717418124113,/product_images/Juegos/PS3 Juegos/8717418124113_s.jpg,PlayStation 3,5.00
Lego Batman 2: DC Super Heros,15.00,821,6.00,5051893116748,/product_images/Juegos/PS3 Juegos/5051893116748_s.jpg,PlayStation 3,9.00
Shade Wrath Of Angels,0.10,830,0.01,8431474060863,/product_images/Juegos/PC Juegos/8431474060863_s.jpg,PC,0.01
Mace Griffin,1.50,830,0.20,3348542181540,/product_images/defimg3_s.jpg,PC,0.40
Sim City Societies: Deluxe Edition,1.00,830,0.10,8414185034606,/product_images/defimg4_s.jpg,PC,0.30
Bubble Bobble Evolution,2.00,862,0.30,5060102950073,/product_images/Juegos/PSP Juegos/5060102950073_s.jpg,PSP,0.60
Valhalla Knights,6.00,862,1.20,5060102950424,/product_images/Juegos/PSP Juegos/5060102950424_s.jpg,PSP,2.00
Bomberman Land,6.00,862,1.20,5060102950622,/product_images/Juegos/PSP Juegos/5060102950622_s.jpg,PSP,2.00
Hannah Montana,1.00,834,0.10,8717418135904,/product_images/Juegos/DS Juegos/8717418135904_s.jpg,Nintendo DS,0.30
El Gran Juego De Las Letras,8.00,834,3.00,8023171016733,/product_images/Juegos/DS Juegos/8023171016733_s.jpg,Nintendo DS,5.00
NBA 2K10,1.50,821,0.30,5026555402705,/product_images/Juegos/PS3 Juegos/5026555402705_s.jpg,PlayStation 3,0.50
Spider-Man 3,8.00,821,3.00,5030917043628,/product_images/Juegos/PS3 Juegos/5030917043628_s.jpg,PlayStation 3,5.00
"Star Wars: The Force Unleashed, Ult Sith",8.00,821,3.00,023272007249,/product_images/Juegos/PS3 Juegos/023272007249_s.jpg,PlayStation 3,5.00
Sid Meier's Sim Golf,0.50,830,0.01,8414185050231,/product_images/defimg3_s.jpg,PC,0.10
Mortir 2093-1944,0.75,830,0.10,8427197230010,/product_images/defimg2_s.jpg,PC,0.20
Age of Mythology Titans Expansion,2.50,830,0.30,805529486492,/product_images/defimg2_s.jpg,PC,0.70
Valkyrie Profile Lenneth,10.00,862,2.00,5060121821811,/product_images/Juegos/PSP Juegos/5060121821811_s.jpg,PSP,3.00
Practical IQ - Demuestra Tu Inteligencia,1.00,862,0.10,5060125481608,/product_images/Juegos/PSP Juegos/5060125481608_s.jpg,PSP,0.30
Major Leage Baseball 2k6,3.00,862,0.40,710425239380,/product_images/Juegos/PSP Juegos/710425239380_s.jpg,PSP,0.90
Race Driver Grid,5.00,821,2.00,5024866336252,/product_images/Juegos/PS3 Juegos/5024866336252_s.jpg,PlayStation 3,3.00
UFC Undisputed 3,28.00,821,12.00,4005209157032,/product_images/Juegos/PS3 Juegos/4005209157032_s.jpg,PlayStation 3,17.00
Masacre Deadpool,28.00,821,12.00,5030917125447,/product_images/Juegos/PS3 Juegos/5030917125447_s.jpg,PlayStation 3,17.00
KnightShift,0.10,830,0.01,3546430028773,/product_images/defimg4_s.jpg,PC,0.01
Major League Baseball 2K7,8.00,862,1.60,710425371271,/product_images/defimg3_s.jpg,PSP,2.00
Mega Minis Volumen 1,4.00,862,0.80,711719150589,/product_images/Juegos/PSP Juegos/711719150589_s.jpg,PSP,1.40
Namco Museum Battle Collection,6.00,862,1.20,711719181019,/product_images/Juegos/PSP Juegos/711719181019_s.jpg,PSP,2.00
Blur,10.00,821,4.00,5030917070709,/product_images/Juegos/PS3 Juegos/5030917070709_s.jpg,PlayStation 3,6.00
"Warhammer 40,000: Space Marine",5.00,821,1.20,4005209151009,/product_images/Juegos/PS3 Juegos/4005209151009_s.jpg,PlayStation 3,1.90
Saint Seiya: Brave Soldiers,15.00,821,6.00,3391891972666,/product_images/Juegos/PS3 Juegos/3391891972666_s.jpg,PlayStation 3,9.00
MLB 06: The Show,2.00,862,0.30,711719862420,/product_images/defimg5_s.jpg,PSP,0.60
Diabolik: The Original Sin,2.00,862,0.30,8033102495704,/product_images/Juegos/PSP Juegos/8033102495704_s.jpg,PSP,0.60
Real Madrid: The Game,1.00,862,0.10,8430613001507,/product_images/Juegos/PSP Juegos/8430613001507_s.jpg,PSP,0.30
Aliens: Colonial Marines,8.00,821,1.90,5055277018130,/product_images/Juegos/PS3 Juegos/5055277018130_s.jpg,PlayStation 3,3.00
Dragon Ball Z Budokai HD Collection,22.00,821,9.00,3391891966825,/product_images/Juegos/PS3 Juegos/3391891966825_s.jpg,PlayStation 3,13.00
F1 Race Stars,10.00,821,4.00,5024866349207,/product_images/Juegos/PS3 Juegos/5024866349207_s.jpg,PlayStation 3,6.00
Final Fantasy Tactics The War of The Lio,15.00,862,3.00,5060121822092,/product_images/Juegos/PSP Juegos/5060121822092_s.jpg,PSP,5.00
Naruto: Ultimate Ninja Heroes 2,3.00,862,0.40,3296580805433,/product_images/Juegos/PSP Juegos/3296580805433_s.jpg,PSP,0.90
Socom FireTeam Bravo 2,3.00,862,0.40,711719663881,/product_images/Juegos/PSP Juegos/711719663881_s.jpg,PSP,0.90
Call Of Juarez 3: The Cartel,4.50,821,2.00,3307219947483,/product_images/Juegos/PS3 Juegos/3307219947483_s.jpg,PlayStation 3,2.00
"Darkness, The",3.50,821,0.80,5026555400183,/product_images/Juegos/PS3 Juegos/5026555400183_s.jpg,PlayStation 3,1.30
Turok,8.00,821,3.00,8717418153625,/product_images/Juegos/PS3 Juegos/8717418153625_s.jpg,PlayStation 3,5.00
Midnight Club L.A Remix,2.00,862,0.30,5026555281829,/product_images/Juegos/PSP Juegos/5026555281829_s.jpg,PSP,0.60
WWE Smackdown Vs. Raw 2010,3.00,862,0.40,4005209125482,/product_images/Juegos/PSP Juegos/4005209125482_s.jpg,PSP,0.90
Samurai Warriors State of War,8.00,862,1.60,5060073302086,/product_images/Juegos/PSP Juegos/5060073302086_s.jpg,PSP,2.00
Naughty Bear,4.00,821,1.80,8023171023021,/product_images/Juegos/PS3 Juegos/8023171023021_s.jpg,PlayStation 3,2.00
Dragons Dogma,5.00,821,1.20,5055060927526,/product_images/Juegos/PS3 Juegos/5055060927526_s.jpg,PlayStation 3,1.90
Lego Star Wars: The Complete Saga,15.00,821,6.00,023272005382,/product_images/Juegos/PS3 Juegos/023272005382_s.jpg,PlayStation 3,9.00
Online Chess Kingdoms,2.00,862,0.30,4012927061145,/product_images/Juegos/PSP Juegos/4012927061145_s.jpg,PSP,0.60
Skate Park City,1.00,862,0.10,5036675010797,/product_images/Juegos/PSP Juegos/5036675010797_s.jpg,PSP,0.30
Kamaleon,0.75,862,0.10,8023171009599,/product_images/Juegos/PSP Juegos/8023171009599_s.jpg,PSP,0.20
MMA: Mixed Martial Arts,8.00,821,3.00,5030934086073,/product_images/Juegos/PS3 Juegos/5030934086073_s.jpg,PlayStation 3,5.00
Blazblue - Calamity Trigger,4.50,862,0.90,4510772106481,/product_images/defimg5_s.jpg,PSP,1.60
Tales of the World,12.00,862,2.00,3307210330819,/product_images/Juegos/PSP Juegos/3307210330819_s.jpg,PSP,4.00
Shrek Smash Crash Racing,3.00,862,0.40,5030917039744,/product_images/defimg1_s.jpg,PSP,0.90
Need For Speed: Underground Rivals,2.50,862,0.30,5030934043311,/product_images/Juegos/PSP Juegos/5030934043311_s.jpg,PSP,0.70
Geronimo Stilton 2,3.00,862,0.40,711719267935,/product_images/Juegos/PSP Juegos/711719267935_s.jpg,PSP,0.90
Jackass,1.50,862,0.20,5017783026092,/product_images/Juegos/PSP Juegos/5017783026092_s.jpg,PSP,0.40
Untold Legends: The Warriors Code,0.50,862,0.01,3307210222138,/product_images/Juegos/PSP Juegos/3307210222138_s.jpg,PSP,0.10
Generation of Chaos,3.00,862,0.40,5036675009234,/product_images/Juegos/PSP Juegos/5036675009234_s.jpg,PSP,0.90
International Athletics,1.50,862,0.20,5036675011589,/product_images/Juegos/PSP Juegos/5036675011589_s.jpg,PSP,0.40
ATV Off Road Fury Pro,2.50,862,0.30,711719606055,/product_images/Juegos/PSP Juegos/711719606055_s.jpg,PSP,0.70
Full Metal Alchemist Brotherhood,15.00,862,3.00,3700577000454,/product_images/Juegos/PSP Juegos/3700577000454_s.jpg,PSP,5.00
Patito Feo Edición especial,0.50,862,0.01,711719127581,/product_images/defimg5_s.jpg,PSP,0.10
Army of Two: The 40th Day,2.00,862,0.30,5030934079808,/product_images/Juegos/PSP Juegos/5030934079808_s.jpg,PSP,0.60
Darkstalkers Chronicle - Chaos Tower,1.50,862,0.20,5055060910030,/product_images/Juegos/PSP Juegos/5055060910030_s.jpg,PSP,0.40
Brothers In Arms: D-Day + Rainbow Six Ve,4.00,862,0.80,3307219930416,/product_images/Juegos/PSP Juegos/3307219930416_s.jpg,PSP,1.40
GTA Vice City + GTA Liberty City Stories,6.00,862,1.20,5026555282222,/product_images/Juegos/PSP Juegos/5026555282222_s.jpg,PSP,2.00
Lego Star Wars: Completa Saga,22.00,831,9.00,023272005375,/product_images/Juegos/Wii Juegos/023272005375_s.jpg,Wii,13.00
Corrupcion En Miami,2.00,862,0.30,3348542204324,/product_images/Juegos/PSP Juegos/3348542204324_s.jpg,PSP,0.60
Donkey Xote,1.00,862,0.10,8430613001231,/product_images/Juegos/PSP Juegos/8430613001231_s.jpg,PSP,0.30
Super Mario All Stars (Ed. 25 Aniv.),38.00,831,17.00,045496369538,/product_images/Juegos/Wii Juegos/045496369538_s.jpg,Wii,24.00
Go Vacation,22.00,831,9.00,045496400644,/product_images/Juegos/Wii Juegos/045496400644_s.jpg,Wii,13.00
WWE All Stars,4.00,862,0.80,4005209143189,/product_images/Juegos/PSP Juegos/4005209143189_s.jpg,PSP,1.40
Free Running,2.00,862,0.30,5060112430237,/product_images/Juegos/PSP Juegos/5060112430237_s.jpg,PSP,0.60
Pop Star Guitar (con air guitar),2.00,831,0.40,5037930150678,/product_images/Juegos/Wii Juegos/5037930150678_s.jpg,Wii,0.70
DJ Hero (Solo Juego),0.25,831,0.01,503091707,/product_images/Juegos/Wii Juegos/503091707WIGS_s.jpg,Wii,0.01
Alien Vs. Predator 2,1.50,862,0.20,3348542213074,/product_images/Juegos/PSP Juegos/3348542213074_s.jpg,PSP,0.40
Bomberman,12.00,862,2.00,4012927061701,/product_images/Juegos/PSP Juegos/4012927061701_s.jpg,PSP,4.00
Madagascar 3,5.00,831,2.00,3391891963459,/product_images/Juegos/Wii Juegos/3391891963459_s.jpg,Wii,3.00
Final Fantasy Fables: Chocobo Dungeon,20.00,831,9.00,5060121823907,/product_images/Juegos/Wii Juegos/5060121823907_s.jpg,Wii,12.00
Tiger Woods PGA Tour 10,1.50,831,0.30,5030934074315,/product_images/Juegos/Wii Juegos/5030934074315_s.jpg,Wii,0.50
Spider-Man: Amigo o Enemigo?,6.00,831,2.00,5030917046971,/product_images/Juegos/Wii Juegos/5030917046971_s.jpg,Wii,3.00
LEGO Harry Potter (Anos 1-4),12.00,831,5.00,5051893027891,/product_images/Juegos/Wii Juegos/5051893027891_s.jpg,Wii,7.00
Lluvia De Albondigas,10.00,831,4.00,3307211671256,/product_images/Juegos/Wii Juegos/3307211671256_s.jpg,Wii,6.00
Supervivientes,3.50,831,0.80,5390102502980,/product_images/Juegos/Wii Juegos/5390102502980_s.jpg,Wii,1.30
Disney Sing it,2.50,831,0.60,8717418182595,/product_images/Juegos/Wii Juegos/8717418182595_s.jpg,Wii,0.90
Flingsmash (Solo Juego),6.00,831,2.00,2129033,/product_images/Juegos/Wii Juegos/2129033T_s.jpg,Wii,3.00
"Voz, La",10.00,831,4.00,4260231341181,/product_images/Juegos/Wii Juegos/4260231341181_s.jpg,Wii,6.00
Skate It,6.00,831,2.00,5030934067041,/product_images/Juegos/Wii Juegos/5030934067041_s.jpg,Wii,3.00
Nickelodeon Dance,8.00,831,3.00,5026555045537,/product_images/Juegos/Wii Juegos/5026555045537_s.jpg,Wii,5.00
Endless Ocean,4.50,831,1.00,045496363826,/product_images/Juegos/Wii Juegos/045496363826_s.jpg,Wii,1.70
Generator Rex Agent of Providence,4.00,831,0.90,5030917101502,/product_images/Juegos/Wii Juegos/5030917101502_s.jpg,Wii,1.50
Cars 2,10.00,831,4.00,045496369811,/product_images/Juegos/Wii Juegos/045496369811_s.jpg,Wii,6.00
Donkey Kong  Jet Race,15.00,831,6.00,045496364984,/product_images/Juegos/Wii Juegos/045496364984_s.jpg,Wii,9.00
Cranium Kabooki,2.00,831,0.40,3307210332622,/product_images/Juegos/Wii Juegos/3307210332622_s.jpg,Wii,0.70
Girls Life: Pijama Party,7.00,831,3.00,3307211662834,/product_images/Juegos/Wii Juegos/3307211662834_s.jpg,Wii,4.00
Combat of Giants: Dinosaur Strike,4.50,831,1.00,3307219906374,/product_images/Juegos/Wii Juegos/3307219906374_s.jpg,Wii,1.70
Celebrity Sports Showdown,8.00,831,3.00,5030934068505,/product_images/Juegos/Wii Juegos/5030934068505_s.jpg,Wii,5.00
Littlest Pet Shop Nuevos Amigos,10.00,831,4.00,5030934077347,/product_images/Juegos/Wii Juegos/5030934077347_s.jpg,Wii,6.00
Spyborgs,6.00,831,2.00,5055060951781,/product_images/Juegos/Wii Juegos/5055060951781_s.jpg,Wii,3.00
Mercury Meltdown Revolution,4.50,831,1.00,5060050945220,/product_images/Juegos/Wii Juegos/5060050945220_s.jpg,Wii,1.70
Mushroom Men: Las Guerras Espora,5.00,831,2.00,5060112742118,/product_images/Juegos/Wii Juegos/5060112742118_s.jpg,Wii,3.00
Bully: Scholarship Edition,6.00,831,2.00,5026555041812,/product_images/Juegos/Wii Juegos/5026555041812_s.jpg,Wii,3.00
Shrek Tercero,7.00,831,3.00,5030917044137,/product_images/Juegos/Wii Juegos/5030917044137_s.jpg,Wii,4.00
SSX Blur,8.00,831,3.00,5030934055239,/product_images/Juegos/Wii Juegos/5030934055239_s.jpg,Wii,5.00
High School Musical 3 Sr. Year: Dance,3.50,831,0.80,045496366834,/product_images/Juegos/Wii Juegos/045496366834_s.jpg,Wii,1.30
Black Eyed Peas Experience,2.00,831,0.40,3307215600290,/product_images/Juegos/Wii Juegos/3307215600290_s.jpg,Wii,0.70
EA Active Nuevos Retos (Solo Juego),4.00,831,0.90,5030934080637,/product_images/Juegos/Wii Juegos/5030934080637_s.jpg,Wii,1.50
Princesas Disney: Cuentos Encantados,6.00,831,2.00,4005209149815,/product_images/Juegos/Wii Juegos/4005209149815_s.jpg,Wii,3.00
UFC Personal Trainer + Correa De Pierna,12.00,831,5.00,4005209138246,/product_images/Juegos/Wii Juegos/4005209138246_s.jpg,Wii,7.00
Top Spin 4,7.00,831,3.00,5026555044301,/product_images/Juegos/Wii Juegos/5026555044301_s.jpg,Wii,4.00
Ghost Squad,5.00,831,2.00,5060138434400,/product_images/Juegos/Wii Juegos/5060138434400_s.jpg,Wii,3.00
Okami,25.00,831,11.00,5055060951002,/product_images/Juegos/Wii Juegos/5055060951002_s.jpg,Wii,15.00
EA Sports Active V2 (Solo Juego),4.00,831,0.90,5030934085403,/product_images/Juegos/Wii Juegos/5030934085403B_s.jpg,Wii,1.50
Carly,6.00,831,2.00,5030917075995,/product_images/Juegos/Wii Juegos/5030917075995_s.jpg,Wii,3.00
La Voz 2 (2 Microfonos),15.00,831,6.00,4260231341464,/product_images/Juegos/Wii Juegos/4260231341464_s.jpg,Wii,9.00
Final Fantasy Crystal Chronicles: Echoes,20.00,831,9.00,5060121824744,/product_images/Juegos/Wii Juegos/5060121824744_s.jpg,Wii,12.00
Juegos en Familia,12.00,831,5.00,5030934074247,/product_images/Juegos/Wii Juegos/5030934074247_s.jpg,Wii,7.00
Shrek: Felices Para Siempre,5.00,831,2.00,5030917082078,/product_images/Juegos/Wii Juegos/5030917082078_s.jpg,Wii,3.00
Heavy Fire Afghanistan,10.00,831,4.00,859292000454,/product_images/Juegos/Wii Juegos/859292000454_s.jpg,Wii,6.00
Indiana Jones y el Cetro de los Reyes,7.00,831,3.00,023272007881,/product_images/Juegos/Wii Juegos/023272007881_s.jpg,Wii,4.00
Pool Party,1.00,831,0.20,5060112741029,/product_images/Juegos/Wii Juegos/5060112741029_s.jpg,Wii,0.30
Mountain Sports,4.00,831,0.90,5030917076411,/product_images/Juegos/Wii Juegos/5030917076411_s.jpg,Wii,1.50
Tiger Woods PGA Tour 09,0.50,831,0.10,5030934066006,/product_images/Juegos/Wii Juegos/5030934066006_s.jpg,Wii,0.10
Los Sims 2 Mascotas,5.00,831,2.00,5030934058780,/product_images/Juegos/Wii Juegos/5030934058780_s.jpg,Wii,3.00
Nitro Bike,4.50,831,1.00,3307210330505,/product_images/Juegos/Wii Juegos/3307210330505_s.jpg,Wii,1.70
Super Fruitfall,6.00,831,2.00,5060057025901,/product_images/Juegos/Wii Juegos/5060057025901_s.jpg,Wii,3.00
Lego Rock Band,3.00,831,0.70,5051893021721,/product_images/Juegos/Wii Juegos/5051893021721_s.jpg,Wii,1.10
More Game Party,5.00,831,2.00,5037930150593,/product_images/Juegos/Wii Juegos/5037930150593_s.jpg,Wii,3.00
